client_id,visit_id,process_step,date_time,variation,tenure_years,age
8498591,557765647_41003667793_217720,start,2017-04-27 21:00:14,Control,7.0,54.5
8498591,557765647_41003667793_217720,start,2017-04-27 20:54:27,Control,7.0,54.5
8498591,557765647_41003667793_217720,start,2017-04-27 20:54:27,Control,7.0,54.5
7385999,42156196_40638307211_965319,step_3,2017-04-07 01:30:56,Control,4.0,28.5
7385999,42156196_40638307211_965319,step_3,2017-04-07 01:30:56,Control,4.0,28.5
3407812,726140036_94272249918_938492,start,2017-04-28 10:37:43,Test,18.0,39.5
3407812,726140036_94272249918_938492,start,2017-04-28 10:37:43,Test,18.0,39.5
7582587,161390004_2597422940_985018,step_3,2017-04-12 11:44:30,Control,8.0,44.5
7582587,161390004_2597422940_985018,step_3,2017-04-12 11:44:30,Control,8.0,44.5
7451853,234513602_56831129288_471299,confirm,2017-04-21 18:09:13,Control,21.0,61.5
7451853,234513602_56831129288_471299,confirm,2017-04-21 18:09:13,Control,21.0,61.5
3154922,956691302_6408357162_96735,start,2017-04-27 17:41:07,Control,7.0,67.0
3154922,956691302_6408357162_96735,start,2017-04-27 17:41:07,Control,7.0,67.0
351093,871207312_16022804672_377908,start,2017-04-27 14:58:44,Control,6.0,28.5
351093,871207312_16022804672_377908,start,2017-04-27 14:58:44,Control,6.0,28.5
9206406,761538558_38084546412_355339,start,2017-04-30 10:58:59,Test,26.0,63.0
9206406,761538558_38084546412_355339,start,2017-04-30 10:58:59,Test,26.0,63.0
847857,376585029_92530793822_24477,start,2017-04-27 09:47:56,Control,6.0,41.5
847857,376585029_92530793822_24477,start,2017-04-27 09:47:56,Control,6.0,41.5
847857,376585029_92530793822_24477,start,2017-04-27 09:44:04,Control,6.0,41.5
847857,376585029_92530793822_24477,start,2017-04-27 09:44:04,Control,6.0,41.5
847857,376585029_92530793822_24477,start,2017-04-27 09:43:48,Control,6.0,41.5
847857,376585029_92530793822_24477,start,2017-04-27 09:43:48,Control,6.0,41.5
6777869,531324703_44342271441_835924,start,2017-04-27 12:11:39,Control,10.0,67.0
6777869,531324703_44342271441_835924,start,2017-04-27 12:11:39,Control,10.0,67.0
9937269,958181133_51253946489_312497,step_3,2017-03-29 12:14:39,Control,12.0,47.5
9937269,958181133_51253946489_312497,step_3,2017-03-29 12:14:39,Control,12.0,47.5
9262676,304350042_4999243671_266486,confirm,2017-04-09 16:13:31,Test,10.0,71.5
9262676,304350042_4999243671_266486,confirm,2017-04-09 16:13:31,Test,10.0,71.5
6227816,338525222_95864123639_640801,confirm,2017-03-23 14:04:43,Control,20.0,75.5
6227816,338525222_95864123639_640801,confirm,2017-03-23 14:04:43,Control,20.0,75.5
3062036,375081850_41530972027_691292,start,2017-04-28 11:16:26,Test,7.0,52.0
3062036,375081850_41530972027_691292,start,2017-04-28 11:16:26,Test,7.0,52.0
3062036,375081850_41530972027_691292,start,2017-04-28 11:13:34,Test,7.0,52.0
3062036,375081850_41530972027_691292,start,2017-04-28 11:13:34,Test,7.0,52.0
8331742,998001174_76255673712_304785,step_3,2017-04-13 06:42:57,Control,12.0,56.5
